2026-03-19 09:51:29.592 | SUCCESS  | src.scraper_shopee:scrape_shopee:213 - ✅ Shopee: 0 produtos válidos coletados. (0 erros)
2026-03-19 09:51:29.650 | INFO     | __main__:executar_varredura:149 - =======================================================
2026-03-19 09:51:29.651 | INFO     | __main__:executar_varredura:150 - 📊 RELATÓRIO DA VARREDURA
2026-03-19 09:51:29.651 | INFO     | __main__:executar_varredura:151 -    🕐 Duração:         1min 21s
2026-03-19 09:51:29.651 | INFO     | __main__:executar_varredura:152 -    🔍 Total encontrado: 0 produtos
2026-03-19 09:51:29.651 | INFO     | __main__:executar_varredura:153 -    💾 Salvos no banco:  0 registros
2026-03-19 09:51:29.651 | INFO     | __main__:executar_varredura:154 -    ❌ Erros:           0
2026-03-19 09:51:29.651 | INFO     | __main__:executar_varredura:158 - =======================================================
2026-03-19 10:14:35.204 | INFO     | __main__:<module>:238 - ▶ Modo: Varredura imediata
2026-03-19 10:14:35.206 | INFO     | __main__:executar_varredura:68 - =======================================================
2026-03-19 10:14:35.206 | INFO     | __main__:executar_varredura:69 - 🚀 Iniciando varredura em 19/03/2026 10:14:35
2026-03-19 10:14:35.206 | INFO     | __main__:executar_varredura:70 - =======================================================
2026-03-19 10:14:35.652 | WARNING  | src.database:log_execucao_start:145 - ⚠️ Não foi possível registrar execução: {'message': 'JSON could not be generated', 'code': 401, 'hint': 'Refer to full message for details', 'details': 'b\'{"message":"Invalid API key","hint":"Double check your API key."}\''}
2026-03-19 10:14:36.064 | INFO     | __main__:executar_varredura:105 - 🏪 Varrendo Mercado Livre...
2026-03-19 10:14:51.256 | INFO     | src.scraper_ml:_scrape_lista:63 - 🛒 ML: 54 cards encontrados em https://www.mercadolivre.com.br/ofertas
2026-03-19 10:15:08.060 | WARNING  | src.scraper_ml:_scrape_lista:54 - ⚠️ ML: Não foi possível carregar https://www.mercadolivre.com.br/mais-vendidos: Page.wait_for_selector: Timeout 15000ms exceeded.
Call log:
waiting for locator(".poly-card, .ui-search-layout__item") to be visible

2026-03-19 10:15:08.061 | INFO     | src.scraper_ml:scrape_mercadolivre:185 - 🔍 ML: Verificando estoque de 0 produtos...
2026-03-19 10:15:08.067 | SUCCESS  | src.scraper_ml:scrape_mercadolivre:220 - ✅ Mercado Livre: 0 produtos válidos coletados. (0 erros)
